"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"2001"	"2001"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	162	28400	570.4
	"< 1 year"	"1"	"2001"	"2001"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	339	93860	361.2
	"< 1 year"	"1"	"2001"	"2001"	"Female"	"F"	"Black or African American"	"2054-5"	3734	316708	1179.0
	"< 1 year"	"1"	"2001"	"2001"	"Female"	"F"	"White"	"2106-3"	7856	1523937	515.5
	"< 1 year"	"1"	"2001"	"2001"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	211	29088	725.4
	"< 1 year"	"1"	"2001"	"2001"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	403	98825	407.8
	"< 1 year"	"1"	"2001"	"2001"	"Male"	"M"	"Black or African American"	"2054-5"	4764	326628	1458.5
	"< 1 year"	"1"	"2001"	"2001"	"Male"	"M"	"White"	"2106-3"	10099	1595212	633.1
	"< 1 year"	"1"	"2002"	"2002"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	152	28652	530.5
	"< 1 year"	"1"	"2002"	"2002"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	357	93896	380.2
	"< 1 year"	"1"	"2002"	"2002"	"Female"	"F"	"Black or African American"	"2054-5"	3872	308227	1256.2
	"< 1 year"	"1"	"2002"	"2002"	"Female"	"F"	"White"	"2106-3"	7936	1502164	528.3
	"< 1 year"	"1"	"2002"	"2002"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	191	29200	654.1
	"< 1 year"	"1"	"2002"	"2002"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	441	98614	447.2
	"< 1 year"	"1"	"2002"	"2002"	"Male"	"M"	"Black or African American"	"2054-5"	4652	317650	1464.5
	"< 1 year"	"1"	"2002"	"2002"	"Male"	"M"	"White"	"2106-3"	10433	1573058	663.2
	"< 1 year"	"1"	"2003"	"2003"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	140	29744	470.7
	"< 1 year"	"1"	"2003"	"2003"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	381	98859	385.4
	"< 1 year"	"1"	"2003"	"2003"	"Female"	"F"	"Black or African American"	"2054-5"	3662	304284	1203.5
	"< 1 year"	"1"	"2003"	"2003"	"Female"	"F"	"White"	"2106-3"	7940	1509747	525.9
	"< 1 year"	"1"	"2003"	"2003"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	195	30240	644.8
	"< 1 year"	"1"	"2003"	"2003"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	467	104880	445.3
	"< 1 year"	"1"	"2003"	"2003"	"Male"	"M"	"Black or African American"	"2054-5"	4740	315118	1504.2
	"< 1 year"	"1"	"2003"	"2003"	"Male"	"M"	"White"	"2106-3"	10500	1582999	663.3
	"< 1 year"	"1"	"2004"	"2004"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	152	30480	498.7
	"< 1 year"	"1"	"2004"	"2004"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	375	102119	367.2
	"< 1 year"	"1"	"2004"	"2004"	"Female"	"F"	"Black or African American"	"2054-5"	3725	310300	1200.5
	"< 1 year"	"1"	"2004"	"2004"	"Female"	"F"	"White"	"2106-3"	7966	1519317	524.3
	"< 1 year"	"1"	"2004"	"2004"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	237	31268	758.0
	"< 1 year"	"1"	"2004"	"2004"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	447	107621	415.3
	"< 1 year"	"1"	"2004"	"2004"	"Male"	"M"	"Black or African American"	"2054-5"	4769	320836	1486.4
	"< 1 year"	"1"	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	10265	1592317	644.7
	"< 1 year"	"1"	"2005"	"2005"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	161	32194	500.1
	"< 1 year"	"1"	"2005"	"2005"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	390	104342	373.8
	"< 1 year"	"1"	"2005"	"2005"	"Female"	"F"	"Black or African American"	"2054-5"	3828	318126	1203.3
	"< 1 year"	"1"	"2005"	"2005"	"Female"	"F"	"White"	"2106-3"	8043	1502020	535.5
	"< 1 year"	"1"	"2005"	"2005"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	196	32637	600.5
	"< 1 year"	"1"	"2005"	"2005"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	484	110171	439.3
	"< 1 year"	"1"	"2005"	"2005"	"Male"	"M"	"Black or African American"	"2054-5"	4867	329152	1478.6
	"< 1 year"	"1"	"2005"	"2005"	"Male"	"M"	"White"	"2106-3"	10471	1575751	664.5
	"< 1 year"	"1"	"2006"	"2006"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	151	33299	453.5
	"< 1 year"	"1"	"2006"	"2006"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	366	104986	348.6
	"< 1 year"	"1"	"2006"	"2006"	"Female"	"F"	"Black or African American"	"2054-5"	3972	326678	1215.9
	"< 1 year"	"1"	"2006"	"2006"	"Female"	"F"	"White"	"2106-3"	8058	1510956	533.3
	"< 1 year"	"1"	"2006"	"2006"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	242	34270	706.2
	"< 1 year"	"1"	"2006"	"2006"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	507	110738	457.8
	"< 1 year"	"1"	"2006"	"2006"	"Male"	"M"	"Black or African American"	"2054-5"	4886	337086	1449.5
	"< 1 year"	"1"	"2006"	"2006"	"Male"	"M"	"White"	"2106-3"	10345	1583725	653.2
	"< 1 year"	"1"	"2007"	"2007"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	191	36155	528.3
	"< 1 year"	"1"	"2007"	"2007"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	418	109998	380.0
	"< 1 year"	"1"	"2007"	"2007"	"Female"	"F"	"Black or African American"	"2054-5"	3969	341912	1160.8
	"< 1 year"	"1"	"2007"	"2007"	"Female"	"F"	"White"	"2106-3"	8267	1539116	537.1
	"< 1 year"	"1"	"2007"	"2007"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	241	37284	646.4
	"< 1 year"	"1"	"2007"	"2007"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	537	116110	462.5
	"< 1 year"	"1"	"2007"	"2007"	"Male"	"M"	"Black or African American"	"2054-5"	4975	353833	1406.0
	"< 1 year"	"1"	"2007"	"2007"	"Male"	"M"	"White"	"2106-3"	10540	1613589	653.2
	"< 1 year"	"1"	"2008"	"2008"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	169	38643	437.3
	"< 1 year"	"1"	"2008"	"2008"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	413	114493	360.7
	"< 1 year"	"1"	"2008"	"2008"	"Female"	"F"	"Black or African American"	"2054-5"	3795	343420	1105.1
	"< 1 year"	"1"	"2008"	"2008"	"Female"	"F"	"White"	"2106-3"	8013	1526333	525.0
	"< 1 year"	"1"	"2008"	"2008"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	234	38993	600.1
	"< 1 year"	"1"	"2008"	"2008"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	536	120781	443.8
	"< 1 year"	"1"	"2008"	"2008"	"Male"	"M"	"Black or African American"	"2054-5"	4748	353526	1343.0
	"< 1 year"	"1"	"2008"	"2008"	"Male"	"M"	"White"	"2106-3"	10151	1596546	635.8
	"< 1 year"	"1"	"2009"	"2009"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	171	38499	444.2
	"< 1 year"	"1"	"2009"	"2009"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	414	110795	373.7
	"< 1 year"	"1"	"2009"	"2009"	"Female"	"F"	"Black or African American"	"2054-5"	3606	337020	1070.0
	"< 1 year"	"1"	"2009"	"2009"	"Female"	"F"	"White"	"2106-3"	7398	1472855	502.3
	"< 1 year"	"1"	"2009"	"2009"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	214	39004	548.7
	"< 1 year"	"1"	"2009"	"2009"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	484	117476	412.0
	"< 1 year"	"1"	"2009"	"2009"	"Male"	"M"	"Black or African American"	"2054-5"	4706	346752	1357.2
	"< 1 year"	"1"	"2009"	"2009"	"Male"	"M"	"White"	"2106-3"	9419	1541186	611.2
	"< 1 year"	"1"	"2010"	"2010"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	141	38480	366.4
	"< 1 year"	"1"	"2010"	"2010"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	375	109711	341.8
	"< 1 year"	"1"	"2010"	"2010"	"Female"	"F"	"Black or African American"	"2054-5"	3285	330352	994.4
	"< 1 year"	"1"	"2010"	"2010"	"Female"	"F"	"White"	"2106-3"	7083	1451334	488.0
	"< 1 year"	"1"	"2010"	"2010"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	213	39263	542.5
	"< 1 year"	"1"	"2010"	"2010"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	502	115570	434.4
	"< 1 year"	"1"	"2010"	"2010"	"Male"	"M"	"Black or African American"	"2054-5"	4116	341156	1206.5
	"< 1 year"	"1"	"2010"	"2010"	"Male"	"M"	"White"	"2106-3"	8871	1518287	584.3
	"< 1 year"	"1"	"2011"	"2011"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	162	39361	411.6
	"< 1 year"	"1"	"2011"	"2011"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	392	114463	342.5
	"< 1 year"	"1"	"2011"	"2011"	"Female"	"F"	"Black or African American"	"2054-5"	3227	335326	962.3
	"< 1 year"	"1"	"2011"	"2011"	"Female"	"F"	"White"	"2106-3"	6877	1463677	469.8
	"< 1 year"	"1"	"2011"	"2011"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	199	40902	486.5
	"< 1 year"	"1"	"2011"	"2011"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	488	119037	410.0
	"< 1 year"	"1"	"2011"	"2011"	"Male"	"M"	"Black or African American"	"2054-5"	4057	352800	1149.9
	"< 1 year"	"1"	"2011"	"2011"	"Male"	"M"	"White"	"2106-3"	8583	1530971	560.6
	"< 1 year"	"1"	"2012"	"2012"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	162	38034	425.9
	"< 1 year"	"1"	"2012"	"2012"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	395	113169	349.0
	"< 1 year"	"1"	"2012"	"2012"	"Female"	"F"	"Black or African American"	"2054-5"	3123	330701	944.4
	"< 1 year"	"1"	"2012"	"2012"	"Female"	"F"	"White"	"2106-3"	6810	1444435	471.5
	"< 1 year"	"1"	"2012"	"2012"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	207	39172	528.4
	"< 1 year"	"1"	"2012"	"2012"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	512	118822	430.9
	"< 1 year"	"1"	"2012"	"2012"	"Male"	"M"	"Black or African American"	"2054-5"	3972	346206	1147.3
	"< 1 year"	"1"	"2012"	"2012"	"Male"	"M"	"White"	"2106-3"	8448	1512538	558.5
	"< 1 year"	"1"	"2013"	"2013"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	118	38574	305.9
	"< 1 year"	"1"	"2013"	"2013"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	381	115688	329.3
	"< 1 year"	"1"	"2013"	"2013"	"Female"	"F"	"Black or African American"	"2054-5"	3245	330884	980.7
	"< 1 year"	"1"	"2013"	"2013"	"Female"	"F"	"White"	"2106-3"	6577	1439910	456.8
	"< 1 year"	"1"	"2013"	"2013"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	197	39928	493.4
	"< 1 year"	"1"	"2013"	"2013"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	496	121308	408.9
	"< 1 year"	"1"	"2013"	"2013"	"Male"	"M"	"Black or African American"	"2054-5"	3878	346221	1120.1
	"< 1 year"	"1"	"2013"	"2013"	"Male"	"M"	"White"	"2106-3"	8548	1509270	566.4
	"< 1 year"	"1"	"2014"	"2014"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	158	38303	412.5
	"< 1 year"	"1"	"2014"	"2014"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	409	120793	338.6
	"< 1 year"	"1"	"2014"	"2014"	"Female"	"F"	"Black or African American"	"2054-5"	3176	332113	956.3
	"< 1 year"	"1"	"2014"	"2014"	"Female"	"F"	"White"	"2106-3"	6586	1439284	457.6
	"< 1 year"	"1"	"2014"	"2014"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	202	39631	509.7
	"< 1 year"	"1"	"2014"	"2014"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	487	126730	384.3
	"< 1 year"	"1"	"2014"	"2014"	"Male"	"M"	"Black or African American"	"2054-5"	3900	346533	1125.4
	"< 1 year"	"1"	"2014"	"2014"	"Male"	"M"	"White"	"2106-3"	8297	1504963	551.3
	"< 1 year"	"1"	"2015"	"2015"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	167	38745	431.0
	"< 1 year"	"1"	"2015"	"2015"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	424	118402	358.1
	"< 1 year"	"1"	"2015"	"2015"	"Female"	"F"	"Black or African American"	"2054-5"	3256	335670	970.0
	"< 1 year"	"1"	"2015"	"2015"	"Female"	"F"	"White"	"2106-3"	6600	1450087	455.1
	"< 1 year"	"1"	"2015"	"2015"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	196	40300	486.4
	"< 1 year"	"1"	"2015"	"2015"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	545	124482	437.8
	"< 1 year"	"1"	"2015"	"2015"	"Male"	"M"	"Black or African American"	"2054-5"	4033	350636	1150.2
	"< 1 year"	"1"	"2015"	"2015"	"Male"	"M"	"White"	"2106-3"	8234	1519716	541.8
	"< 1 year"	"1"	"2016"	"2016"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	141	38168	369.4
	"< 1 year"	"1"	"2016"	"2016"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	441	122126	361.1
	"< 1 year"	"1"	"2016"	"2016"	"Female"	"F"	"Black or African American"	"2054-5"	3287	333403	985.9
	"< 1 year"	"1"	"2016"	"2016"	"Female"	"F"	"White"	"2106-3"	6425	1445970	444.3
	"< 1 year"	"1"	"2016"	"2016"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	206	39291	524.3
	"< 1 year"	"1"	"2016"	"2016"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	576	128228	449.2
	"< 1 year"	"1"	"2016"	"2016"	"Male"	"M"	"Black or African American"	"2054-5"	3942	347670	1133.8
	"< 1 year"	"1"	"2016"	"2016"	"Male"	"M"	"White"	"2106-3"	8143	1515289	537.4
	"< 1 year"	"1"	"2017"	"2017"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	150	37522	399.8
	"< 1 year"	"1"	"2017"	"2017"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	466	119599	389.6
	"< 1 year"	"1"	"2017"	"2017"	"Female"	"F"	"Black or African American"	"2054-5"	3128	330757	945.7
	"< 1 year"	"1"	"2017"	"2017"	"Female"	"F"	"White"	"2106-3"	6123	1436267	426.3
	"< 1 year"	"1"	"2017"	"2017"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	186	38829	479.0
	"< 1 year"	"1"	"2017"	"2017"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	567	125811	450.7
	"< 1 year"	"1"	"2017"	"2017"	"Male"	"M"	"Black or African American"	"2054-5"	3971	345325	1149.9
	"< 1 year"	"1"	"2017"	"2017"	"Male"	"M"	"White"	"2106-3"	7744	1505185	514.5
	"< 1 year"	"1"	"2018"	"2018"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	136	36615	371.4
	"< 1 year"	"1"	"2018"	"2018"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	434	116572	372.3
	"< 1 year"	"1"	"2018"	"2018"	"Female"	"F"	"Black or African American"	"2054-5"	2956	322989	915.2
	"< 1 year"	"1"	"2018"	"2018"	"Female"	"F"	"White"	"2106-3"	5873	1403527	418.4
	"< 1 year"	"1"	"2018"	"2018"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	181	37893	477.7
	"< 1 year"	"1"	"2018"	"2018"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	528	122551	430.8
	"< 1 year"	"1"	"2018"	"2018"	"Male"	"M"	"Black or African American"	"2054-5"	3804	337321	1127.7
	"< 1 year"	"1"	"2018"	"2018"	"Male"	"M"	"White"	"2106-3"	7555	1470740	513.7
	"< 1 year"	"1"	"2019"	"2019"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	139	36048	385.6
	"< 1 year"	"1"	"2019"	"2019"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	372	111296	334.2
	"< 1 year"	"1"	"2019"	"2019"	"Female"	"F"	"Black or African American"	"2054-5"	3044	315293	965.5
	"< 1 year"	"1"	"2019"	"2019"	"Female"	"F"	"White"	"2106-3"	5692	1385298	410.9
	"< 1 year"	"1"	"2019"	"2019"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	173	37369	463.0
	"< 1 year"	"1"	"2019"	"2019"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	499	117196	425.8
	"< 1 year"	"1"	"2019"	"2019"	"Male"	"M"	"Black or African American"	"2054-5"	3704	328974	1125.9
	"< 1 year"	"1"	"2019"	"2019"	"Male"	"M"	"White"	"2106-3"	7298	1451578	502.8
	"< 1 year"	"1"	"2020 "	"2020"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	117	40525	288.7
	"< 1 year"	"1"	"2020 "	"2020"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	318	128480	247.5
	"< 1 year"	"1"	"2020 "	"2020"	"Female"	"F"	"Black or African American"	"2054-5"	2854	328120	869.8
	"< 1 year"	"1"	"2020 "	"2020"	"Female"	"F"	"White"	"2106-3"	5434	1329744	408.7
	"< 1 year"	"1"	"2020 "	"2020"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	158	41947	376.7
	"< 1 year"	"1"	"2020 "	"2020"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	417	135247	308.3
	"< 1 year"	"1"	"2020 "	"2020"	"Male"	"M"	"Black or African American"	"2054-5"	3523	341843	1030.6
	"< 1 year"	"1"	"2020 "	"2020"	"Male"	"M"	"White"	"2106-3"	6761	1389104	486.7
	"1-4 years"	"1-4"	"1999"	"1999"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	34	99441	34.2
	"1-4 years"	"1-4"	"1999"	"1999"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	69	330111	20.9
	"1-4 years"	"1-4"	"1999"	"1999"	"Female"	"F"	"Black or African American"	"2054-5"	565	1226088	46.1
	"1-4 years"	"1-4"	"1999"	"1999"	"Female"	"F"	"White"	"2106-3"	1606	5837974	27.5
	"1-4 years"	"1-4"	"1999"	"1999"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	48	103113	46.6
	"1-4 years"	"1-4"	"1999"	"1999"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	97	335331	28.9
	"1-4 years"	"1-4"	"1999"	"1999"	"Male"	"M"	"Black or African American"	"2054-5"	746	1264461	59.0
	"1-4 years"	"1-4"	"1999"	"1999"	"Male"	"M"	"White"	"2106-3"	2084	6143263	33.9
	"1-4 years"	"1-4"	"2000"	"2000"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	42	105634	39.8
	"1-4 years"	"1-4"	"2000"	"2000"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	67	335780	20.0
	"1-4 years"	"1-4"	"2000"	"2000"	"Female"	"F"	"Black or African American"	"2054-5"	556	1228210	45.3
	"1-4 years"	"1-4"	"2000"	"2000"	"Female"	"F"	"White"	"2106-3"	1490	5838810	25.5
	"1-4 years"	"1-4"	"2000"	"2000"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	49	109226	44.9
	"1-4 years"	"1-4"	"2000"	"2000"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	79	339291	23.3
	"1-4 years"	"1-4"	"2000"	"2000"	"Male"	"M"	"Black or African American"	"2054-5"	692	1270615	54.5
	"1-4 years"	"1-4"	"2000"	"2000"	"Male"	"M"	"White"	"2106-3"	2004	6142584	32.6
	"1-4 years"	"1-4"	"2001"	"2001"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	51	106459	47.9
	"1-4 years"	"1-4"	"2001"	"2001"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	72	345682	20.8
	"1-4 years"	"1-4"	"2001"	"2001"	"Female"	"F"	"Black or African American"	"2054-5"	509	1217652	41.8
	"1-4 years"	"1-4"	"2001"	"2001"	"Female"	"F"	"White"	"2106-3"	1576	5798743	27.2
	"1-4 years"	"1-4"	"2001"	"2001"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	52	110252	47.2
	"1-4 years"	"1-4"	"2001"	"2001"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	81	350044	23.1
	"1-4 years"	"1-4"	"2001"	"2001"	"Male"	"M"	"Black or African American"	"2054-5"	672	1259030	53.4
	"1-4 years"	"1-4"	"2001"	"2001"	"Male"	"M"	"White"	"2106-3"	2094	6097697	34.3
	"1-4 years"	"1-4"	"2002"	"2002"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	41	109688	37.4
	"1-4 years"	"1-4"	"2002"	"2002"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	69	363140	19.0
	"1-4 years"	"1-4"	"2002"	"2002"	"Female"	"F"	"Black or African American"	"2054-5"	494	1228911	40.2
	"1-4 years"	"1-4"	"2002"	"2002"	"Female"	"F"	"White"	"2106-3"	1448	5862972	24.7
	"1-4 years"	"1-4"	"2002"	"2002"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	49	113307	43.2
	"1-4 years"	"1-4"	"2002"	"2002"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	97	369128	26.3
	"1-4 years"	"1-4"	"2002"	"2002"	"Male"	"M"	"Black or African American"	"2054-5"	702	1269501	55.3
	"1-4 years"	"1-4"	"2002"	"2002"	"Male"	"M"	"White"	"2106-3"	1958	6161084	31.8
	"1-4 years"	"1-4"	"2003"	"2003"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	40	113119	35.4
	"1-4 years"	"1-4"	"2003"	"2003"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	71	378615	18.8
	"1-4 years"	"1-4"	"2003"	"2003"	"Female"	"F"	"Black or African American"	"2054-5"	500	1232025	40.6
	"1-4 years"	"1-4"	"2003"	"2003"	"Female"	"F"	"White"	"2106-3"	1528	5912934	25.8
	"1-4 years"	"1-4"	"2003"	"2003"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	55	116442	47.2
	"1-4 years"	"1-4"	"2003"	"2003"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	91	386181	23.6
	"1-4 years"	"1-4"	"2003"	"2003"	"Male"	"M"	"Black or African American"	"2054-5"	699	1271135	55.0
	"1-4 years"	"1-4"	"2003"	"2003"	"Male"	"M"	"White"	"2106-3"	1981	6206124	31.9
	"1-4 years"	"1-4"	"2004"	"2004"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	47	117295	40.1
	"1-4 years"	"1-4"	"2004"	"2004"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	81	396689	20.4
	"1-4 years"	"1-4"	"2004"	"2004"	"Female"	"F"	"Black or African American"	"2054-5"	523	1233915	42.4
	"1-4 years"	"1-4"	"2004"	"2004"	"Female"	"F"	"White"	"2106-3"	1485	5965276	24.9
	"1-4 years"	"1-4"	"2004"	"2004"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	50	120218	41.6
	"1-4 years"	"1-4"	"2004"	"2004"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	80	407770	19.6
	"1-4 years"	"1-4"	"2004"	"2004"	"Male"	"M"	"Black or African American"	"2054-5"	641	1273755	50.3
	"1-4 years"	"1-4"	"2004"	"2004"	"Male"	"M"	"White"	"2106-3"	1878	6256709	30.0
	"1-4 years"	"1-4"	"2005"	"2005"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	38	121519	31.3
	"1-4 years"	"1-4"	"2005"	"2005"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	67	414165	16.2
	"1-4 years"	"1-4"	"2005"	"2005"	"Female"	"F"	"Black or African American"	"2054-5"	474	1239358	38.2
	"1-4 years"	"1-4"	"2005"	"2005"	"Female"	"F"	"White"	"2106-3"	1412	6010081	23.5
	"1-4 years"	"1-4"	"2005"	"2005"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	62	124518	49.8
	"1-4 years"	"1-4"	"2005"	"2005"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	84	426175	19.7
	"1-4 years"	"1-4"	"2005"	"2005"	"Male"	"M"	"Black or African American"	"2054-5"	623	1279980	48.7
	"1-4 years"	"1-4"	"2005"	"2005"	"Male"	"M"	"White"	"2106-3"	1996	6297211	31.7
